numero de tentativas  322
numero de colisoes:  84332
519 468
vai tomar no cu botafogo
398.0 234.0 22 12
423.0 237.0 26 18
259.0 104.0 12 20
206.0 51.0 22 22
79.0 138.0 30 28
386.0 272.0 18 20
403.0 325.0 26 28
127.0 73.0 32 22
315.0 223.0 14 20
372.0 363.0 26 16
113.0 94.0 26 16
299.0 86.0 20 20
57.0 171.0 18 30
254.0 379.0 26 18
363.0 163.0 24 20
379.0 336.0 18 18
281.0 302.0 18 10
423.0 256.0 30 18
154.0 433.0 28 20
29.0 240.0 24 28
54.0 242.0 24 32
192.0 95.0 24 22
176.0 290.0 18 30
169.0 70.0 34 26
212.0 466.0 24 44
418.0 285.0 32 38
82.0 251.0 28 22
74.0 333.0 26 16
339.0 314.0 16 20
161.0 94.0 34 18
402.0 215.0 30 22
37.0 210.0 34 26
62.0 200.0 14 26
309.0 426.0 28 28
395.0 251.0 22 20
329.0 93.0 28 20
31.0 274.0 24 30
435.0 211.0 34 28
277.0 81.0 22 24
360.0 112.0 28 34
391.0 191.0 24 24
79.0 92.0 32 22
242.0 486.0 24 34
100.0 395.0 26 18
344.0 352.0 26 16
363.0 277.0 26 34
303.0 53.0 28 34
280.0 148.0 12 16
354.0 335.0 30 16
202.0 393.0 8 12
295.0 295.0 6 10
77.0 168.0 20 28
366.0 387.0 34 28
338.0 200.0 20 18
393.0 165.0 34 26
47.0 304.0 14 26
330.0 112.0 30 16
281.0 441.0 26 32
215.0 98.0 20 28
206.0 436.0 22 14
280.0 414.0 24 20
198.0 259.0 6 10
391.0 297.0 20 24
27.0 302.0 24 24
164.0 229.0 12 20
197.0 73.0 18 20
226.0 430.0 14 22
364.0 197.0 26 28
179.0 258.0 22 32
259.0 179.0 10 12
133.0 115.0 20 22
278.0 104.0 16 20
297.0 229.0 20 20
159.0 413.0 18 18
103.0 368.0 22 28
171.0 201.0 20 16
292.0 133.0 10 14
279.0 396.0 22 14
77.0 226.0 20 24
182.0 117.0 16 20
185.0 404.0 16 18
178.0 136.0 26 16
300.0 108.0 26 22
108.0 125.0 26 42
281.0 379.0 26 18
181.0 425.0 24 20
131.0 235.0 18 26
328.0 334.0 20 18
307.0 281.0 14 10
303.0 294.0 8 8
126.0 409.0 24 14
364.0 310.0 30 30
335.0 249.0 26 30
57.0 277.0 22 26
306.0 398.0 22 24
278.0 163.0 10 12
128.0 316.0 18 16
245.0 36.0 26 42
174.0 214.0 14 8
226.0 403.0 16 30
253.0 358.0 26 22
371.0 224.0 30 16
83.0 273.0 26 20
276.0 181.0 14 20
182.0 176.0 12 12
133.0 143.0 22 32
100.0 337.0 24 30
